lag,sub,CA3/DG,CA1,PPA,EVC
1,1,0.06032901815526775,0.2339786807796968,-0.19837963280287665,0.30542341013609914
1,2,-0.008469743326805557,-0.01814251406233216,-0.06670647345780356,-0.1029537499964449
1,3,0.0160542470618952,0.04645613284220706,0.18611181865616863,-0.05441383522018105
1,4,0.029511788213896443,0.15648165481373022,-0.039672229444783005,0.12971623754389014
1,5,0.02577107719289475,0.09347454486775254,0.014201150101539375,0.03960813148481897
1,6,-0.013051072569707037,0.26429052369523875,0.24024802634789288,0.3237572509365008
1,7,-0.18650565250387796,0.040422171192494576,-0.20553496704420648,0.3580909221868153
1,9,-0.14941942754022627,0.0662288075940289,0.025961440987331538,0.029251995920595828
1,10,0.04181792693104465,0.05111695575774373,-0.04602752527647961,0.1674516018241896
1,11,-0.06182852854285013,-0.23156803455854166,0.04348762614481624,0.10420469545475868
1,12,-0.15783004695271488,0.217470309090313,0.0807367786907941,0.254897593623977
1,13,-0.16875541832816465,-0.011809290764771727,0.19341587284949477,-0.14934771736848007
1,14,-0.11548551567433463,0.05157491771029988,-0.15290747300484922,0.03700499260009769
1,17,0.13437329437196768,-0.00820449453266398,-0.2189896280797476,0.042453648832309336
1,18,-0.053811464223965134,-0.299616434522474,-0.13843337149998933,0.14703589568170453
1,19,-0.0545558544458093,0.1879992730442993,-0.02518437688437285,-0.10690629419548127
1,20,-0.1942536893032513,0.028376380816868465,0.21038048272169693,0.06727895565341108
1,21,0.0626879387824422,0.19130287313134334,-0.04043556770836679,-0.21145751781315825
1,22,-0.22558711254961025,0.09161262108243695,0.06987937391669541,-0.17094639997573186
1,23,0.11096796334777115,0.14626188297172824,-0.12656308319310108,0.014801602533538587
1,24,-0.2163225121738806,0.2042517522005279,0.060962209513951975,0.06592457017740905
1,25,-0.18512690084752587,0.017820505322578107,0.03456974893295717,0.21169626901296734
1,26,-0.09950250908777761,-0.19089959539002302,0.017244769542667765,0.2384625550956982
1,27,0.1948991904019178,0.008584508279278985,0.21208270433598853,0.013548236749975132
1,28,0.02291197102407584,0.2145147862055032,0.10331065405867187,0.12011601058587566
1,29,-0.1760293161977677,0.24210002302024855,-0.05526404488423474,-0.09250163890403626
1,31,-0.06692661035913436,0.054843040591338675,0.1333375996387415,-0.23930328102808532
1,32,-0.05764101614776611,0.015004721482166009,0.1726171203771265,-0.0658342162129093
1,33,-0.03700099226513722,0.04098002372042519,-0.024365472117574852,-0.14338043871409756
1,35,-0.14138697733079578,0.11870395746319376,-0.02310846206885749,-0.11943820840970153
1,36,-0.20727391634263845,-0.2886722200114411,0.17070059470562943,-0.18177024821511684
2,1,0.02018579647563553,0.11446501173637837,-0.09142520192825927,0.16363445068850896
2,2,0.11509425028278304,-0.11325078735654509,0.20577938335860602,-0.04064940508388541
2,3,0.11095996370714577,0.17462677975635185,-0.0376887798533121,-0.206366136392516
2,4,-0.09282937639753143,0.03234095443976843,0.002771287211367653,0.06885644076407912
2,5,0.07423086075194567,-0.28462573447969314,-0.3905086778374324,0.2555341080045052
2,6,-0.1190496319900624,0.0010319950413202232,-0.09182263484281351,0.05677818026541632
2,7,-0.0623005879331931,-0.05457747829645393,-0.07104954530042815,-0.014264978779912155
2,9,0.1449210666978271,-0.17077226311316926,-0.03656580499070435,0.3482010035656773
2,10,0.19390654364007312,-0.14056322102902397,-0.0763336675242601,0.32843974908395995
2,11,-0.04176291139539724,-0.02110399109431029,-0.10041404581086259,0.020253983229500862
2,12,0.04191409978559161,-0.0922473952116835,0.19009840016704968,-0.17496005741855233
2,13,0.03224332742041363,0.00398636224925313,0.011920459551739718,-0.32589707818082636
2,14,0.02203736066992669,-0.07317097311860132,0.06838815294633324,0.16229203581740162
2,17,-0.08958360400930798,-0.30669992421314696,-0.11603943409418777,-0.0028735775632066037
2,18,-0.15015233901719996,0.1390915351839667,0.15224524101747888,0.06485369987336376
2,19,-0.02933622077699145,0.34720399486575,0.009992830902668106,-0.06796213655751573
2,20,0.07090516983755941,-0.08657889814275394,0.15462719305325587,-0.08689797724301386
2,21,-0.1377076597918281,-0.08158555097093226,0.12764218496844176,-0.030748397106146647
2,22,0.12197245042526135,0.0773305570440212,-0.1935512568275171,-0.12416253452257452
2,23,-0.08697996644915823,-0.17526980480005686,-0.05805444026121618,0.0182428008847375
2,24,0.09565818522568907,0.06042436764127988,0.06428153086650892,-0.06967410922677422
2,25,-0.2694338907971773,0.003040068001537109,0.05344114319998551,0.03695125347164108
2,26,-0.06676866437098194,-0.29227829937724814,-0.004163958579377166,-0.005917152894021264
2,27,-0.3815490628764576,0.021366534255951305,-0.1740407109575684,0.3850265943947717
2,28,-0.07574202125263534,-0.035335896292470054,-0.08779243794378633,-0.16754410029324687
2,29,0.15849000710182734,-0.10394165879906066,0.054136749433941506,0.06662414678236706
2,31,0.15693181359281966,-0.2944121187606395,0.17063873231993854,0.06589699270243964
2,32,-0.09312923017178028,-0.0329009020886102,-0.0896857871497228,0.023828251356643862
2,33,0.12656195583739896,0.1271376033107369,-0.0024386453078144594,-0.16812392793603442
2,35,-0.06881961210221522,0.013782807807922298,-0.11754814959593544,-0.0019177167350955492
2,36,-0.26754360466945293,-0.06311518151550087,-0.09337918300815974,0.046352103572605025
