sub,run,obj,type,z,roi
28,pre-learned,last,competitor,0.0115608021399507,CA23DG
29,learned,first,competitor,0.00929874841553658,CA23DG
29,learned,last,competitor,-0.0521175502815136,CA23DG
29,pre-learned,first,competitor,-0.0366765170164561,CA23DG
29,pre-learned,last,competitor,0.00921976498342269,CA23DG
31,learned,first,competitor,-0.00659198786186119,CA23DG
31,learned,last,competitor,0.0257835865484691,CA23DG
31,pre-learned,first,competitor,-0.0293638658882945,CA23DG
31,pre-learned,last,competitor,0.00949151852501232,CA23DG
32,learned,first,competitor,-0.0303419577313024,CA23DG
32,learned,last,competitor,0.00899713605800593,CA23DG
32,pre-learned,first,competitor,0.0102588706620502,CA23DG
32,pre-learned,last,competitor,-0.0120560845985528,CA23DG
33,learned,first,competitor,0.00494859888431199,CA23DG
33,learned,last,competitor,-0.0011800843614629,CA23DG
33,pre-learned,first,competitor,0.0260421306897774,CA23DG
33,pre-learned,last,competitor,0.0114384030608507,CA23DG
35,learned,first,competitor,0.00440762404317786,CA23DG
35,learned,last,competitor,-0.0157262809868181,CA23DG
35,pre-learned,first,competitor,-0.00524713150410697,CA23DG
35,pre-learned,last,competitor,0.0159007207700274,CA23DG
36,learned,first,competitor,-0.0147244398854222,CA23DG
36,learned,last,competitor,0.00115034268093486,CA23DG
36,pre-learned,first,competitor,-0.00241799038955555,CA23DG
36,pre-learned,last,competitor,0.0119105411401039,CA23DG
1,learned,first,target,-0.00899563534006788,CA23DG
1,learned,last,target,-0.0034348405805732698,CA23DG
1,pre-learned,first,target,-0.00294695693190381,CA23DG
1,pre-learned,last,target,-0.013830764935933,CA23DG
2,learned,first,target,0.00114082275803999,CA23DG
2,learned,last,target,0.00729571004248983,CA23DG
2,pre-learned,first,target,-0.0260104748910067,CA23DG
2,pre-learned,last,target,-0.0300514654668185,CA23DG
3,learned,first,target,0.0104834850980981,CA23DG
3,learned,last,target,0.0198961508585667,CA23DG
3,pre-learned,first,target,-0.0450463006327123,CA23DG
3,pre-learned,last,target,0.0254831077572641,CA23DG
4,learned,first,target,0.006536972381471,CA23DG
4,learned,last,target,-0.00485601306668128,CA23DG
4,pre-learned,first,target,0.00503104742202616,CA23DG
4,pre-learned,last,target,-0.0537991650556924,CA23DG
5,learned,first,target,4.61725854962568e-4,CA23DG
5,learned,last,target,0.00767456633016684,CA23DG
5,pre-learned,first,target,-0.0315725438970668,CA23DG
5,pre-learned,last,target,-0.0419685924135624,CA23DG
6,learned,first,target,0.0179349142697277,CA23DG
6,learned,last,target,0.0198001609021963,CA23DG
6,pre-learned,first,target,-0.0118608226512922,CA23DG
6,pre-learned,last,target,5.95415194693181e-4,CA23DG
7,learned,first,target,0.0109998192869067,CA23DG
7,learned,last,target,-0.0206613336329592,CA23DG
7,pre-learned,first,target,0.013997921316451,CA23DG
7,pre-learned,last,target,0.0146784647311652,CA23DG
9,learned,first,target,-0.0289269502237972,CA23DG
9,learned,last,target,-0.0124825881874749,CA23DG
9,pre-learned,first,target,-0.0102957579605131,CA23DG
9,pre-learned,last,target,-0.0052012998352293,CA23DG
10,learned,first,target,-0.00741437991342349,CA23DG
10,learned,last,target,0.00266550453501988,CA23DG
10,pre-learned,first,target,-0.0479416487800932,CA23DG
10,pre-learned,last,target,-0.0249879099249925,CA23DG
11,learned,first,target,-0.0326876015333869,CA23DG
11,learned,last,target,0.015495956460366,CA23DG
11,pre-learned,first,target,-0.0187972169307572,CA23DG
11,pre-learned,last,target,0.0173223949827976,CA23DG
12,learned,first,target,0.00325783308114989,CA23DG
12,learned,last,target,-0.0118010232225841,CA23DG
12,pre-learned,first,target,0.0113204028602613,CA23DG
12,pre-learned,last,target,-0.00102103437022379,CA23DG
13,learned,first,target,0.011582701662808,CA23DG
13,learned,last,target,0.027320805801942,CA23DG
13,pre-learned,first,target,0.0481848171294024,CA23DG
13,pre-learned,last,target,-0.0097127051232629,CA23DG
14,learned,first,target,0.0144823862494434,CA23DG
14,learned,last,target,-0.0146718577881338,CA23DG
14,pre-learned,first,target,-0.018504600022133,CA23DG
14,pre-learned,last,target,0.0117970218239948,CA23DG
17,learned,first,target,0.00108264740301437,CA23DG
17,learned,last,target,-0.0038735218668960302,CA23DG
17,pre-learned,first,target,-0.00209052320448023,CA23DG
17,pre-learned,last,target,-0.0128501878791405,CA23DG
18,learned,first,target,0.0173781766147104,CA23DG
18,learned,last,target,-0.00237166256372514,CA23DG
18,pre-learned,first,target,-0.0140164571360905,CA23DG
18,pre-learned,last,target,-0.0192217496978336,CA23DG
19,learned,first,target,-0.0405200117175324,CA23DG
19,learned,last,target,0.0218801224627853,CA23DG
19,pre-learned,first,target,-0.0126086527227305,CA23DG
19,pre-learned,last,target,-0.0224386180506809,CA23DG
20,learned,first,target,-0.00566223429620205,CA23DG
20,learned,last,target,-0.00319976076131399,CA23DG
20,pre-learned,first,target,0.00916382981670353,CA23DG
20,pre-learned,last,target,-0.0506537751245516,CA23DG
21,learned,first,target,-0.0157405796050649,CA23DG
21,learned,last,target,0.0107093459719407,CA23DG
21,pre-learned,first,target,-0.0039306932374772,CA23DG
21,pre-learned,last,target,-0.0281702658131897,CA23DG
22,learned,first,target,-0.00606259478216727,CA23DG
22,learned,last,target,0.00198766341013048,CA23DG
22,pre-learned,first,target,-0.00129459041161943,CA23DG
22,pre-learned,last,target,0.018297641472095,CA23DG
23,learned,first,target,0.0055334655394933,CA23DG
