subnum,1,2,3,4,5,6
1,0.3611111111111111,0.7222222222222222,0.8611111111111112,1,1,1
2,0.3055555555555556,0.4444444444444444,0.8055555555555556,0.8055555555555556,0.9444444444444444,1
3,0.3611111111111111,0.6944444444444444,0.8611111111111112,1,1,1
4,0.2222222222222222,0.3055555555555556,0.3888888888888889,0.6666666666666666,0.75,0.8888888888888888
5,0.2777777777777778,0.3055555555555556,0.5277777777777778,0.75,0.9166666666666666,0.9722222222222222
6,0.4722222222222222,0.8333333333333334,0.7777777777777778,1,0.9722222222222222,1
7,0.1111111111111111,0.3888888888888889,0.8055555555555556,0.9166666666666666,0.9444444444444444,0.9722222222222222
9,0.2777777777777778,0.5833333333333334,0.7222222222222222,0.8055555555555556,0.9444444444444444,0.9444444444444444
10,0.05555555555555555,0.25,0.3055555555555556,0.3888888888888889,0.5555555555555556,0.5555555555555556
11,0,0.19444444444444445,0.6111111111111112,0.7222222222222222,0.9444444444444444,0.9722222222222222
12,0.4722222222222222,0.6666666666666666,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9722222222222222
13,0.3333333333333333,0.2777777777777778,0.5555555555555556,0.75,0.7222222222222222,0.8611111111111112
14,0.3333333333333333,0.4444444444444444,0.4166666666666667,0.5833333333333334,0.8611111111111112,0.9444444444444444
17,0.3055555555555556,0.08333333333333333,0.4166666666666667,0.5555555555555556,0.7777777777777778,0.8888888888888888
18,0.3611111111111111,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.9444444444444444,1
19,0.3333333333333333,0.4166666666666667,0.7222222222222222,0.8055555555555556,0.8333333333333334,0.9166666666666666
20,0.25,0.4444444444444444,0.5,0.8055555555555556,0.9166666666666666,1
21,0.5277777777777778,0.75,0.8333333333333334,0.8888888888888888,1,0.9722222222222222
22,0.25,0.08333333333333333,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.9444444444444444
23,0.1111111111111111,0.2222222222222222,0.4722222222222222,0.75,0.7222222222222222,0.8611111111111112
24,0.05555555555555555,0.25,0.4444444444444444,0.5555555555555556,0.6666666666666666,1
25,0.19444444444444445,0.4722222222222222,0.75,0.8055555555555556,0.8611111111111112,0.8333333333333334
26,0.08333333333333333,0.4166666666666667,0.6944444444444444,0.9722222222222222,0.9166666666666666,1
27,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.9444444444444444,0.9722222222222222,1
28,0.25,0.6666666666666666,0.8888888888888888,1,1,1
29,0.3055555555555556,0.08333333333333333,0.3055555555555556,0.7222222222222222,0.8611111111111112,0.8611111111111112
31,0.4444444444444444,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.75,0.7777777777777778
32,0.2777777777777778,0.6388888888888888,0.8333333333333334,1,1,0.9444444444444444
33,0.19444444444444445,0.4444444444444444,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.75
35,0.3333333333333333,0.5,0.8888888888888888,1,0.9166666666666666,0.9722222222222222
36,0.2222222222222222,0.5555555555555556,0.6388888888888888,0.7777777777777778,0.9166666666666666,0.9722222222222222
