run.2,sub,N,N-1,N-2,N-3,N+1,N+2,N+3
N-1,1,-0.0131493976131145,NA,0.0011159510592676045,0.013309458416062753,-0.023349654058712536,0.014240801976935422,-0.007157223240989965
N-1,2,-0.020447281963586594,NA,0.0010559062852517759,-1.765541435381577e-4,0.027113954678833197,0.04080695224040942,0.0070854533597437385
N-1,3,-0.012966439762651653,NA,0.006930767547887547,0.052418868768287455,-0.013478723469044041,-0.010282101343420832,-0.012345414403496976
N-1,4,0.016719832778548962,NA,-0.034760716991606835,-0.016455749514922586,0.03441665816669555,0.020825121210907863,0.029684658570171423
N-1,5,-0.027675513560544738,NA,-0.012871934648017957,0.020253317458396956,-0.023286912993599616,0.023162529132457844,0.03333639807406812
N-1,6,-0.02645128920238068,NA,-0.017245060225341915,0.02442558850392839,-0.03983081000193956,0.0022631632175793624,-0.030736494936042698
N-1,7,-0.01766920874598636,NA,0.004526685121345216,0.03740100430316362,-0.005165646981863606,0.018453834384598133,0.0125615723461176
N-1,9,-0.017573400726834356,NA,-0.015545495231247286,0.021784917344892147,-0.010622157908235747,0.010386410648530893,-0.03689673495278228
N-1,10,0.0032444636652631063,NA,0.01159370083255424,0.032143432074566686,-0.0017593639070945892,-0.014770870076750209,-0.04393429798980918
N-1,11,-0.05152519265971287,NA,-9.545734372682687e-4,0.011457671900932914,0.01752669473592098,0.10521474607763412,-0.009645422338471791
N-1,12,-0.02377031982848354,NA,-0.03384815690826238,-0.028121631098140837,-0.010358096257287166,-0.038107810403915095,0.00859222727994871
N-1,13,-0.006685179211331147,NA,0.006990579605456011,-0.015665964964791543,-0.023234138483562917,-0.03441002437379083,-0.07962196198038418
N-1,14,0.004899955234846992,NA,0.021653816881371895,0.010357988063441476,-0.00928558493895409,0.0024415649211158327,-0.002160568333939948
N-1,17,0.014434493443727247,NA,-0.002883755469061876,-0.025076086774236655,-0.00705068128992793,-0.0018273329675296025,-0.00976442762082802
N-1,18,0.04144385416107827,NA,-0.0164505351918896,-0.011298505595849356,-0.02017860201906767,0.04020160480650144,-0.0015891790242220406
N-1,19,0.0014474191588530279,NA,0.007240951896828366,4.982880481995604e-4,0.0283932649925271,-0.003958498024682761,-0.0335896237987547
N-1,20,-0.03676809184359876,NA,0.05793359545057089,0.015604657748120544,-0.015803826860583018,-0.03644148959010143,-0.04993152386744754
N-1,21,0.004950296894193115,NA,0.012344184443698149,-0.02393791685083844,-0.02314474103803533,0.029161544220392875,-0.03161948937475834
N-1,22,-0.008725699602768363,NA,0.015230178211788743,-0.020581530769034764,-0.06808419226046132,-0.002644699702348959,0.05594126655192368
N-1,23,-0.011908854792796379,NA,0.003669283356665759,-0.05190970130548547,0.013602708157225097,0.015524164548443973,0.0025254974127006196
N-1,24,0.0047878971396582825,NA,0.028224230424398884,-0.007040129878164951,-0.030995763605717038,0.0021686021421255864,0.06653613698147229
N-1,25,-0.027096750676664644,NA,0.0027378104896950304,-0.015629817639925287,-0.015744699186340767,0.007074772381528274,-0.02136247989349855
N-1,26,0.012884292705363346,NA,-0.003634843581554716,0.05027552742443584,0.00514954342206426,-0.0025625160217766845,0.003239633203710094
N-1,27,-0.02580229002769279,NA,0.03308757451716362,0.0057926422025921355,0.006237380718087278,0.003930744655103873,0.008672465607597886
N-1,28,-0.005407049159210649,NA,-0.003967916102298838,-0.05004042094393566,0.017693858500734787,-0.059189924185737264,-0.017786236162542952
