sub,roi,1,2,3,4,5
1,CA23DG,0.00400916317543134,0.00375211587229272,-0.00330945174926953,0.00968898949247822,-0.0302564321256336
2,CA23DG,0.01162096316416,0.0255224969094984,-0.00686712822624354,-0.0296884913158372,-0.0163671651118222
3,CA23DG,-0.0161189018204265,-0.037952905606465,0.0227853702587594,-0.0135187422445849,0.00204367295053233
4,CA23DG,0.00808901549136114,-0.0265334155228777,0.00940684255315501,0.00577766264656739,0.0223905565541751
5,CA23DG,0.0012786212560029,-0.011467387260039,-0.0340372351468463,-0.0155712027819997,0.00785207054057617
6,CA23DG,-0.00682459031921257,0.00843138962957719,-0.0150594772898653,-0.0102759434733599,-0.0126588741171438
7,CA23DG,-0.0263748110051577,-0.0202139123974069,0.0117719406755348,5.0861494396255e-4,0.00571595730118431
9,CA23DG,0.0117221261629399,-0.0173261665856332,-0.0178765272247286,0.00911617988335147,0.00363510358268309
10,CA23DG,-0.0319661575685226,0.00221158132704033,-0.00865005002832387,-0.00674637476033564,-0.00762526243677435
11,CA23DG,0.00255987787908651,0.0153210897193761,-0.0226357028948933,-0.0378887625907393,-0.0156529316270527
12,CA23DG,-0.017649346216781,-1.44002574949647e-4,-0.00439148403986329,-0.00710768945553352,0.00610775212242001
13,CA23DG,-0.0349677458913632,-0.00765677577502311,1.99442430974042e-5,0.00688510449712253,0.00520317122238923
14,CA23DG,0.0164547190760778,-0.00117323630641758,0.0149463777033145,-0.0155574392491477,-0.00630505573804979
17,CA23DG,0.00246390346662842,0.0120899920247739,-0.0174043668337746,0.0168315306725882,-0.0353614450030355
18,CA23DG,0.0223689313038452,0.0235897141699935,-0.00387843503167259,0.0158611898905591,0.00722469379135567
19,CA23DG,0.0195581926209832,-0.00387802721200082,0.0216574476913132,0.0017431614552450101,-0.032499646575801
20,CA23DG,-0.01392480629849,0.0139650297575245,-0.0166387583810319,0.00245880526075969,0.0413193036626734
21,CA23DG,-0.0166195610077105,0.0259718936312312,0.00851790725666495,0.0033054427929761,0.00192391841860294
22,CA23DG,6.20482844285325e-4,0.0130569973868046,0.00500467124458021,-0.0182794893418035,0.00225332415776998
23,CA23DG,0.00361753518538212,-0.0189603711711396,-0.0048911323890978,-0.0137704200384968,0.031757068409467
24,CA23DG,0.0355366899444954,-0.0122713203839844,0.00382278184588196,0.0203232028427166,0.0234986152240317
25,CA23DG,-0.0126727545288537,0.0238328142856528,-0.0125000762028421,0.00802771213028809,-0.00226881252339538
26,CA23DG,0.0122635409592993,-0.00390727576815443,-0.00574957204641293,-0.00899252690617475,0.00430309468261142
27,CA23DG,0.0118219160151566,-0.0192672862822191,3.66086412999858e-5,-0.0392593081601306,-0.00611407482028178
28,CA23DG,0.00215412727060329,-0.0118068884336582,0.00750804994626187,-0.00804808784362298,-0.0134613289867809
29,CA23DG,0.00940575049012843,0.0124919651043255,-0.00414141057462567,0.0136107703493718,0.0171791389603242
31,CA23DG,-0.00434109490712177,0.0104664042688319,0.0105426676578095,0.0097351215294895,0.00978448244773219
32,CA23DG,-0.00607056279476373,-0.0196887357157911,-0.0125436687885665,-0.00471860644870653,-0.0174874058543913
33,CA23DG,-0.0110493229449716,-0.0151007349644162,-0.00576507776738522,0.0111696001166764,-0.0010609777325873
35,CA23DG,-0.0326532405796524,-0.00943071150617988,-0.0261637067858165,-0.00279730037483886,0.0405965961791757
36,CA23DG,0.0265545944622965,0.0214828471196296,0.0377561713945385,-0.00133950829907557,-0.0123181546822602
1,CA1,0.00354254865251787,-0.0190080420677426,0.011741539842308,-0.00687762798551539,0.00750783288258068
2,CA1,0.00237770298557505,-0.00642718382857336,-0.0139736995585351,0.00902253195005653,0.0165252204608341
3,CA1,-0.00114964440567279,-0.0260201715380946,5.06905105777177e-4,0.00175665321815422,0.00437982677170927
4,CA1,-0.00497484383915683,0.00585579579644434,-0.0107821191363556,0.0417685911078445,0.0184789440048976
5,CA1,-0.0125644087391695,0.00318680312721023,-0.0101865194983329,0.00387486633990121,0.0105218316626166
6,CA1,0.00592303785674825,-0.00288621888500578,-0.00801349315527776,-0.00712966265732972,0.0125590182012837
7,CA1,0.0112667930561162,-0.00512532452040216,-0.0111630073124002,0.0221820758618661,-0.004412389218702
9,CA1,0.0194384581521156,0.00949315402783564,-0.0333411331734313,-0.00789779070256005,0.00274231244352457
10,CA1,0.0124057914956068,-0.0124473256706835,0.00763607331392179,0.00866733257027073,0.00285428789865345
11,CA1,-0.00276913446493312,-0.0505434286877378,-0.0053201546854151,2.94690138816438e-4,0.00232189404907205
