distance,sub,ca23dg,ca1,ppa,evc
N-3,28,0.00215249,0.030240429,0.048593269,-0.002222252
N-3,29,-0.013052469,-0.010109354,-0.016071424,0.01709694
N-3,31,-0.007148676,-0.017737922,0.009505286,0.001385709
N-3,32,0.013931561,0.02029535,-0.024906868,0.018217697
N-3,33,-0.05438657,0.004158522,0.026741658,0.019673703
N-3,35,-0.051885443,0.027081171,0.032173663,0.040375567
N-3,36,0.009186551,0.027211204,-0.009466638,0.034048705
N+1,1,0.019468331,0.016581532,0.011798034,0.006037222
N+1,2,-0.02223054,0.008365723,0.009694061,-7.71E-04
N+1,3,-0.004861732,0.002487661,0.002535733,0.008092565
N+1,4,0.01975937,0.046150793,-0.008807634,0.022671794
N+1,5,-0.019668951,-0.004018955,0.016058134,0.007972973
N+1,6,-0.00479776,0.001105771,0.027109338,0.013438994
N+1,7,-0.019424589,-0.016647783,2.48E-04,-0.004500522
N+1,9,0.002530271,-0.003709863,-0.021449208,0.008702014
N+1,10,0.003534056,0.012769905,-0.012177932,-0.009182582
N+1,11,-0.028878069,0.012222023,0.007928989,0.014376277
N+1,12,0.024176557,-0.014166575,-0.001983426,-0.005774977
N+1,13,0.020695578,0.029412465,0.008321419,-0.006921324
N+1,14,-0.024834567,-0.010164528,0.017152656,0.012441768
N+1,17,-0.0245557,-0.035149772,0.029247097,-0.00836066
N+1,18,0.024885695,-0.004443228,-0.003921129,0.013191372
N+1,19,0.008939468,-0.003621438,-0.001665366,-0.004270505
N+1,20,-0.010850093,0.015399646,-0.023884926,0.007757529
N+1,21,0.022115673,-5.33E-04,0.005481749,0.005076874
N+1,22,0.007351096,-0.012792512,-0.009598714,0.025304408
N+1,23,0.002984529,0.004412014,-0.008789462,0.00284997
N+1,24,0.026249901,0.001340039,-0.016604695,0.012090927
N+1,25,0.010283752,0.001344771,0.008434399,0.021222444
N+1,26,-1.39E-04,-0.008893008,-0.003420278,-0.027115099
N+1,27,-0.004933749,0.011905868,0.002503897,-0.010020507
N+1,28,0.016647348,-0.016769325,0.012787361,0.005866779
N+1,29,0.011453036,-0.020956737,-0.004842925,-0.048400727
N+1,31,0.007412905,-0.003552594,-0.002402984,8.46E-04
N+1,32,0.002503887,0.037266021,0.004948111,-0.003166527
N+1,33,-0.015253539,0.004324984,0.01676301,-0.009515823
N+1,35,-0.012216877,-0.008600778,-0.020533324,0.014650728
N+1,36,-0.020239179,-0.00796855,0.001343315,0.049204676
N+2,1,0.001110965,-0.006704009,0.001095744,0.01392213
N+2,2,-0.014027806,-0.002494791,-0.010801256,-0.017406243
N+2,3,0.011856017,0.020091408,0.004536022,0.01187414
N+2,4,0.016994967,-0.020300264,-0.006711235,-0.004066913
N+2,5,-0.019092166,-0.018970839,0.016860497,0.034293902
N+2,6,0.007306177,-0.005845606,0.007684358,0.033071555
N+2,7,0.018114428,0.021317349,0.032443166,0.019111766
N+2,9,-0.019376434,-0.014930687,-0.007767633,-0.014707668
N+2,10,0.03812922,-0.006009293,-0.039988824,0.05581836
N+2,11,-0.05040684,0.011326131,-0.014794187,-0.002558649
N+2,12,-0.006132551,-0.011341854,0.010510413,0.014510381
N+2,13,0.019723759,-0.03792504,0.008418094,0.006264673
N+2,14,0.010677619,-0.028677054,-0.001433168,-0.001858205
N+2,17,0.026966775,0.018878241,-0.001508741,0.026613099
N+2,18,-0.02253235,0.024433828,0.026006089,0.021605842
N+2,19,0.028775129,0.02552215,-0.003454071,0.014490139
N+2,20,0.00634422,-0.010117385,-6.72E-04,-0.007627755
N+2,21,-0.011342134,0.007666766,-0.002947796,0.025112054
N+2,22,0.009734996,0.036166855,-0.013176204,-0.035692229
N+2,23,-2.50E-04,0.020282166,0.002278669,-0.001737457
N+2,24,-0.02064625,0.030472684,-0.016103445,0.011606604
N+2,25,-3.41E-04,0.017634212,0.00636186,0.040725165
N+2,26,-0.011570833,-0.012954051,-0.022858862,-0.0054665
N+2,27,-0.027670914,0.025310554,0.014960995,0.004905648
N+2,28,0.013196704,-0.012347778,0.022673622,0.013700764
N+2,29,0.02353893,0.021507041,0.030184252,-3.74E-04
N+2,31,-0.018351114,0.001507319,-0.008851352,0.018055811
N+2,32,0.028998996,-0.001774186,0.009351383,-0.003763598
N+2,33,0.033586339,-0.009632283,0.01666743,-0.022543064
N+2,35,-0.007081688,0.00553181,-0.013405766,-0.001790684
N+2,36,-0.005498755,-0.008807115,0.006707749,-0.051323817
N+3,1,-0.006854577,-0.014888136,0.009183742,0.048314685
N+3,2,0.024987506,-0.060038478,-0.017845258,0.006752431
N+3,3,-0.003733533,-0.032561294,0.002185816,0.022433875
N+3,4,-0.014130868,0.024102426,-0.017183679,0.023938016
N+3,5,0.006652345,0.017210088,0.003106109,0.033495734
N+3,6,-0.012985284,0.017248348,0.033810023,7.01E-04
N+3,7,0.008669163,0.010714228,0.00910061,0.01769094
N+3,9,-0.037803449,-0.005978889,0.014494468,0.033408692
N+3,10,0.011942099,0.026499254,-0.003757193,-0.027907675
N+3,11,0.025839431,0.022320786,0.006684729,0.023815239
N+3,12,0.02019424,0.013174558,0.0182538,0.022420923
N+3,13,0.069841506,3.91E-04,0.033477495,-0.079154656
N+3,14,-0.026318332,0.035356508,0.034330156,-0.008759524
N+3,17,-8.27E-04,-0.009216243,0.014459559,-0.028194378
N+3,18,1.90E-04,0.006195968,0.008214841,0.043325997
N+3,19,0.026081892,0.052489898,0.017621515,-0.017355005
N+3,20,-0.027583426,0.01926914,-0.01334654,0.026429091
N+3,21,0.046644523,0.007024697,-0.006155141,-0.043914138
N+3,22,0.061218662,0.045075389,-0.026807102,0.067584855
N+3,23,-0.02087643,-0.005251144,-0.014227253,0.022770547
N+3,24,0.008146935,-0.041635688,-0.029624869,0.056371945
N+3,25,0.014817671,0.034864505,0.006083566,-0.011836175
N+3,26,-0.006956004,-0.028716953,0.019419953,0.010838815
N+3,27,0.015794856,-0.014210468,0.010649316,0.01938608
N+3,28,-0.009646942,0.02588799,-0.004242705,0.001245659
N+3,29,-0.003099065,-0.053711108,-0.01318333,-0.034779965
N+3,31,0.002024623,0.066387496,0.00766822,-0.007966479
N+3,32,0.001827282,-0.02381004,-0.016121434,0.010612614
N+3,33,4.26E-04,-0.016225428,0.017480621,0.009586738
N+3,35,-0.005191712,0.00355785,0.00108196,0.003036398
N+3,36,-0.016211933,-0.008443938,-0.00391389,0.015930987
