sub,roi,-/-,+/-,+/+
1,ca23dg,0.00423724673504029,-0.010126988701301262,-0.0021843463001319247
2,ca23dg,0.0056178614860669,0.0012489916362280877,-0.002116456074376037
3,ca23dg,0.012087209765325353,-0.01306676623238169,-8.950275403619771e-4
4,ca23dg,-0.01098218832442222,0.0062796526495254934,0.016443789347828645
5,ca23dg,0.0021513510020994497,-0.008077590245277613,-0.004122708278061214
6,ca23dg,-0.002892517494727208,-0.011801666964851607,-8.002990483724411e-4
7,ca23dg,0.021990339119493864,0.0034819458803834174,-0.0020881340476966905
9,ca23dg,0.009220380114782094,-0.00819724406977737,0.0011009553303513182
10,ca23dg,0.013917344685639276,-0.011902183469439434,-0.0013902441275898576
11,ca23dg,0.0012986699912124783,-5.931314250189841e-4,-0.006013975543375779
12,ca23dg,-0.024161435282934653,-0.001956401204363937,0.004339075118058763
13,ca23dg,-0.01004617969170405,-0.006290750068087954,0.028633555968861066
14,ca23dg,0.010919620987340192,-0.0019057433570201542,-0.006265255854205405
17,ca23dg,-0.004652737733392482,0.004939701126343655,-0.02065387696075117
18,ca23dg,-0.002164108595915937,0.004222818062637387,-0.005726510573311486
19,ca23dg,0.012745819030239311,0.004684442511325725,0.0059373163713401
20,ca23dg,0.027809903844842405,-0.020574030927489072,0.0016942462095363155
21,ca23dg,0.005272150252570913,-0.003130840223548955,0.014777796932687567
22,ca23dg,-0.0035033313384142547,-0.014238492941324008,0.004592573872581446
23,ca23dg,-0.01133667801690844,0.005078098038252239,-0.0026971582672128494
24,ca23dg,0.007376424759672955,0.006692129424858229,0.006688144009314048
25,ca23dg,0.012484592215843257,-0.014736197176847056,0.007756767924557049
26,ca23dg,0.0037326149799251636,-0.0018770724242732127,-0.0059856171280893615
27,ca23dg,0.029430418653316345,-0.008394456256135501,-0.01521379300080877
28,ca23dg,-0.013776904104236959,-0.017317340288637722,0.0016754177749505224
29,ca23dg,-0.0022236102508262443,-0.0020035671626701876,0.012604360712254197
31,ca23dg,0.010625558934330587,0.0030699111955163963,1.348276240754642e-4
32,ca23dg,0.010217003005190066,-0.0036502629268998434,-0.003493109153597184
33,ca23dg,2.4851547246888087e-5,-0.0013228376714403548,0.007753005852685942
35,ca23dg,-0.02567113879126762,0.0033577062554791563,-0.007376863518073493
36,ca23dg,0.02990617563361483,0.0028449936668853595,-0.003625700222492379
