time,roi,sub,1,2,3,4
ip,CA3/DG,1,-0.06223449669673948,-0.003747742465302125,-0.024309091980817106,0.010098347776070039
ip,CA3/DG,2,-0.018397715121924958,-0.02033779838825287,-0.004449354986531047,-0.04344711204054966
ip,CA3/DG,3,-0.0034602052494299615,0.042374826945706406,0.030584595370496386,-0.08055223033116388
ip,CA3/DG,4,-0.008312617512539776,0.027844981702450727,0.05499193445715323,0.046216574338081136
ip,CA3/DG,5,-0.03403992895222107,-0.06727667461624343,0.023127021769137182,-0.10215466336923197
ip,CA3/DG,6,-0.044045648163759533,0.04258905557930589,-0.016409704177750603,-0.06010569121082137
ip,CA3/DG,7,0.003978405476590803,0.03846043578142247,-0.01588587357979061,-0.009141688282912511
ip,CA3/DG,9,-0.020695441652129012,-0.005312050972528141,-0.009485134663537004,-0.06039623988275039
ip,CA3/DG,10,0.11003771256843801,-0.043325745393313776,0.024245287065903717,-0.08852478905781934
ip,CA3/DG,11,-0.08283050642395862,-0.049598183543592224,-0.005685269395234352,-0.060160482835004844
ip,CA3/DG,12,-0.026829651811022346,0.03167616021339921,-0.053557252594382064,-0.09619676265376997
ip,CA3/DG,13,0.039462288260335425,-0.06885099538021293,0.013805504345006452,-0.02063528261603428
ip,CA3/DG,14,-5.585676878892762e-4,0.051954938584135996,-0.004958176073099498,-0.030548467960787317
ip,CA3/DG,17,0.05883669641018255,-0.08894730973387263,0.06266199178049764,0.02518659531810143
ip,CA3/DG,18,0.026367254840728802,0.08446226059505227,0.03542943168232305,0.035950129767211673
ip,CA3/DG,19,0.04236271095658394,-0.017005682253207748,0.012969480121926003,-0.07239384277952651
ip,CA3/DG,20,-0.03889751789032904,0.07102696655695155,-0.005777843389095154,-0.05027846013902165
ip,CA3/DG,21,-0.06901171935058567,0.039032975139243614,0.0611949513070803,0.02503772677278044
ip,CA3/DG,22,0.015102225668062432,-0.011039979899861805,-0.02673524876106378,-0.018186776735917995
ip,CA3/DG,23,0.0017366977542365367,-0.044589733555835905,-0.04541377860520277,-0.013177991690934261
ip,CA3/DG,24,-0.01681436697747278,0.03507392653556705,-0.024753266670294496,0.0386933367255579
