sub,IP_CA23DG,Pre_CA23DG,IP_CA1,Pre_CA1,IP_PPA,Pre_PPA,IP_EVC,Pre_EVC
1,-0.0131493976131145,0.00111595105926761,-0.00527915806396607,-0.0256413705330905,-0.0149360435448398,-0.0113603603029512,0.0154878805198886,0.0117935799208482
2,-0.0204472819635866,0.00105590628525178,-0.00112720308593168,-0.020090861985669,0.0039773187453075,-0.00380811194165031,0.00816862883520229,0.00835449914084653
3,-0.0129664397626517,0.00693076754788755,-0.0175634823338546,-0.00148962113203868,0.0162200953390867,0.00296397930164394,0.0143468477947139,-0.0040861954179739
4,0.016719832778549,-0.0347607169916068,0.00233585321884669,0.0226497496743325,-0.00176410274100304,-0.0215759950097614,0.0304530784972952,-0.00943526752741409
5,-0.0276755135605447,-0.012871934648018,-0.00684592851408328,0.0074331492762733,-0.0226555172888101,-0.00301986342153899,-0.0118799090256508,0.018947460106072
6,-0.0264512892023807,-0.0172450602253419,-0.00522074033058871,-0.0240732514039818,-0.00070851069184568705,-0.0076673685088996,-0.00646234385198681,0.0343172719989793
7,-0.0176692087459864,0.00452668512134522,0.028354228495108,-0.00758069367230066,0.0065161413289377,0.00273702495086242,0.014605637042972,0.0116163780206301
9,-0.0175734007268344,-0.0155454952312473,-0.00963890663682325,-0.00371112025137438,0.00117545460542513,0.0247365818076534,0.0150220376958702,-0.012693526912869
10,0.00324446366526311,0.0115937008325542,-0.002560999272721,0.0262440489237465,-0.00939986663089989,0.0224755678426408,0.0668192953340627,-0.0375732116386675
11,-0.0515251926597129,-9.54573437268269e-4,-0.0320519531894038,-0.0217666211960636,-0.00186042888041503,0.00875764563998436,-0.00496837522656263,0.0135171412561801
12,-0.0237703198284835,-0.0338481569082624,-0.0368570531811801,-0.0263231520363807,-0.0168197693961532,0.0203516231964368,-0.00823265928899376,0.0107553846152473
13,-0.00668517921133115,0.00699057960545602,-0.00637611919124537,3.7999822467092e-4,-0.00944169921848712,0.00439279439192337,-0.00245009827696609,0.0102436329104952
14,0.00489995523484699,0.0216538168813719,-0.0219176487459955,-0.00903215551057417,0.00496406886007493,-0.0164663941553612,0.0104132081543303,-0.0083713739438158
17,0.0144344934437272,-0.00288375546906188,-0.00884306150468518,-0.00583893329589397,-0.00138068276635179,-0.00171440540062641,-0.0124717814797224,0.0164518848991079
18,0.0414438541610783,-0.0164505351918896,0.0106734565049551,-0.00143838112665503,-0.00367140026446601,0.0214005712541982,0.0407677535722174,3.85350779848685e-4
19,0.00144741915885303,0.00724095189682837,0.00508253055650111,-0.0125347153726841,0.00610437482756596,0.00296801797037753,0.0292105040651577,0.0271983261365515
20,-0.0367680918435988,0.0579335954505709,-0.0172147569209152,0.0631228088194239,-0.0108946371094293,0.0189042925401052,0.00958186822027554,0.00962738624333226
21,0.00495029689419311,0.0123441844436981,0.0322847324960791,0.00696273468557335,-0.0157041064610309,0.0227152671747421,-0.00225009775728331,-0.0367358845728776
22,-0.00872569960276836,0.0152301782117887,0.0154155796154711,-0.0261353618638789,-0.0195052646600585,0.0170656780596635,0.037501858698543,-1.82606431258045e-4
23,-0.0119088547927964,0.00366928335666576,0.00366034403160758,0.0579049257951991,0.0124763344419521,0.0140038590662002,0.0267090578504762,-0.00392413527808189
24,0.00478789713965828,0.0282242304243989,-0.0140745076097272,0.0239687483781448,0.0243959611975521,0.00484597318812362,0.00928011756753987,0.00603614039451524
25,-0.0270967506766646,0.00273781048969503,-5.92087962085117e-4,-0.0212288160240846,-0.0108413398353989,0.00649032514615976,-0.0216200509016459,-0.0279988046027912
26,0.0128842927053633,-0.00363484358155472,0.0237932981169266,0.0105839180723529,0.0238024219122563,0.00457983962492514,0.00606428364034386,0.00103874583273891
27,-0.0258022900276928,0.0330875745171636,0.0342297125293701,0.00682022603292749,0.0100937108181771,0.0124838634832585,0.0182852340096732,-0.00124682645552955
28,-0.00540704915921065,-0.00396791610229884,4.61901391359012e-4,0.0163051718353609,0.0106234571733754,-0.00447224997149237,0.0126181190843941,0.0218438130445114
29,0.0224567769259533,9.29128566264377e-4,0.0156876035180227,1.10177506290193e-5,0.0212453002344039,0.0208387520897996,0.042804777232435,0.0674051639508344
31,0.00634993696717078,0.00161394810787082,0.011577844749088,0.0295511706601004,-0.0132819026098708,0.00652990530598444,0.00492447768253933,0.0162372354212672
32,-0.040067799355841,0.018523285315119,0.00858119548609732,-0.012271668204019,-0.00308113579079415,0.0349423283019156,0.00464079767468957,-0.0241067332633177
33,-0.00903506067639113,0.0118501432996156,-0.00386765489324578,0.00889628178874834,0.0084101863676188,0.0161682949006391,-0.0200554176733311,-0.0172409555904168
35,-0.0119102151134402,-0.0198629910952328,-0.0259407122734516,0.0395378845654219,0.00610164010786006,-0.00259636923649148,0.0162445600371506,-0.0206223011253276
36,0.00106590546211462,0.0302726838527364,-0.00936545472602543,-0.0180304092894539,-0.0188925472924857,0.00938713753433047,-0.002174655175554,0.0306176243690622
