"";"sub";"run";"type";"z";"roi"
"60";35;"Pre";"within_pair-across_pair";-0,0198629910952328;"ca23dg_body_thre_0.5"
"61";36;"IP";"within_pair-across_pair";0,00106590546211462;"ca23dg_body_thre_0.5"
"62";36;"Pre";"within_pair-across_pair";0,0302726838527364;"ca23dg_body_thre_0.5"
"63";1;"IP";"within_pair-across_pair";-0,00527915806396607;"ca1_body_thre_0.5"
"64";1;"Pre";"within_pair-across_pair";-0,0256413705330905;"ca1_body_thre_0.5"
"65";2;"IP";"within_pair-across_pair";-0,00112720308593168;"ca1_body_thre_0.5"
"66";2;"Pre";"within_pair-across_pair";-0,020090861985669;"ca1_body_thre_0.5"
"67";3;"IP";"within_pair-across_pair";-0,0175634823338546;"ca1_body_thre_0.5"
"68";3;"Pre";"within_pair-across_pair";-0,00148962113203868;"ca1_body_thre_0.5"
"69";4;"IP";"within_pair-across_pair";0,00233585321884669;"ca1_body_thre_0.5"
"70";4;"Pre";"within_pair-across_pair";0,0226497496743325;"ca1_body_thre_0.5"
"71";5;"IP";"within_pair-across_pair";-0,00684592851408328;"ca1_body_thre_0.5"
"72";5;"Pre";"within_pair-across_pair";0,0074331492762733;"ca1_body_thre_0.5"
"73";6;"IP";"within_pair-across_pair";-0,00522074033058871;"ca1_body_thre_0.5"
"74";6;"Pre";"within_pair-across_pair";-0,0240732514039818;"ca1_body_thre_0.5"
"75";7;"IP";"within_pair-across_pair";0,028354228495108;"ca1_body_thre_0.5"
"76";7;"Pre";"within_pair-across_pair";-0,00758069367230066;"ca1_body_thre_0.5"
"77";9;"IP";"within_pair-across_pair";-0,00963890663682325;"ca1_body_thre_0.5"
"78";9;"Pre";"within_pair-across_pair";-0,00371112025137438;"ca1_body_thre_0.5"
"79";10;"IP";"within_pair-across_pair";-0,002560999272721;"ca1_body_thre_0.5"
"80";10;"Pre";"within_pair-across_pair";0,0262440489237465;"ca1_body_thre_0.5"
"81";11;"IP";"within_pair-across_pair";-0,0320519531894038;"ca1_body_thre_0.5"
"82";11;"Pre";"within_pair-across_pair";-0,0217666211960636;"ca1_body_thre_0.5"
"83";12;"IP";"within_pair-across_pair";-0,0368570531811801;"ca1_body_thre_0.5"
"84";12;"Pre";"within_pair-across_pair";-0,0263231520363807;"ca1_body_thre_0.5"
"85";13;"IP";"within_pair-across_pair";-0,00637611919124537;"ca1_body_thre_0.5"
"86";13;"Pre";"within_pair-across_pair";0,00037999822467092;"ca1_body_thre_0.5"
"87";14;"IP";"within_pair-across_pair";-0,0219176487459955;"ca1_body_thre_0.5"
"88";14;"Pre";"within_pair-across_pair";-0,00903215551057417;"ca1_body_thre_0.5"
"89";17;"IP";"within_pair-across_pair";-0,00884306150468518;"ca1_body_thre_0.5"
"90";17;"Pre";"within_pair-across_pair";-0,00583893329589397;"ca1_body_thre_0.5"
"91";18;"IP";"within_pair-across_pair";0,0106734565049551;"ca1_body_thre_0.5"
"92";18;"Pre";"within_pair-across_pair";-0,00143838112665503;"ca1_body_thre_0.5"
"93";19;"IP";"within_pair-across_pair";0,00508253055650111;"ca1_body_thre_0.5"
"94";19;"Pre";"within_pair-across_pair";-0,0125347153726841;"ca1_body_thre_0.5"
"95";20;"IP";"within_pair-across_pair";-0,0172147569209152;"ca1_body_thre_0.5"
"96";20;"Pre";"within_pair-across_pair";0,0631228088194239;"ca1_body_thre_0.5"
"97";21;"IP";"within_pair-across_pair";0,0322847324960791;"ca1_body_thre_0.5"
"98";21;"Pre";"within_pair-across_pair";0,00696273468557335;"ca1_body_thre_0.5"
"99";22;"IP";"within_pair-across_pair";0,0154155796154711;"ca1_body_thre_0.5"
"100";22;"Pre";"within_pair-across_pair";-0,0261353618638789;"ca1_body_thre_0.5"
"101";23;"IP";"within_pair-across_pair";0,00366034403160758;"ca1_body_thre_0.5"
"102";23;"Pre";"within_pair-across_pair";0,0579049257951991;"ca1_body_thre_0.5"
"103";24;"IP";"within_pair-across_pair";-0,0140745076097272;"ca1_body_thre_0.5"
"104";24;"Pre";"within_pair-across_pair";0,0239687483781448;"ca1_body_thre_0.5"
"105";25;"IP";"within_pair-across_pair";-0,000592087962085117;"ca1_body_thre_0.5"
"106";25;"Pre";"within_pair-across_pair";-0,0212288160240846;"ca1_body_thre_0.5"
"107";26;"IP";"within_pair-across_pair";0,0237932981169266;"ca1_body_thre_0.5"
"108";26;"Pre";"within_pair-across_pair";0,0105839180723529;"ca1_body_thre_0.5"
"109";27;"IP";"within_pair-across_pair";0,0342297125293701;"ca1_body_thre_0.5"
"110";27;"Pre";"within_pair-across_pair";0,00682022603292749;"ca1_body_thre_0.5"
"111";28;"IP";"within_pair-across_pair";0,000461901391359012;"ca1_body_thre_0.5"
"112";28;"Pre";"within_pair-across_pair";0,0163051718353609;"ca1_body_thre_0.5"
"113";29;"IP";"within_pair-across_pair";0,0156876035180227;"ca1_body_thre_0.5"
"114";29;"Pre";"within_pair-across_pair";1,10177506290193e-05;"ca1_body_thre_0.5"
"115";31;"IP";"within_pair-across_pair";0,011577844749088;"ca1_body_thre_0.5"
"116";31;"Pre";"within_pair-across_pair";0,0295511706601004;"ca1_body_thre_0.5"
"117";32;"IP";"within_pair-across_pair";0,00858119548609732;"ca1_body_thre_0.5"
"118";32;"Pre";"within_pair-across_pair";-0,012271668204019;"ca1_body_thre_0.5"
"119";33;"IP";"within_pair-across_pair";-0,00386765489324578;"ca1_body_thre_0.5"
"120";33;"Pre";"within_pair-across_pair";0,00889628178874834;"ca1_body_thre_0.5"
"121";35;"IP";"within_pair-across_pair";-0,0259407122734516;"ca1_body_thre_0.5"
"122";35;"Pre";"within_pair-across_pair";0,0395378845654219;"ca1_body_thre_0.5"
"123";36;"IP";"within_pair-across_pair";-0,00936545472602543;"ca1_body_thre_0.5"
"124";36;"Pre";"within_pair-across_pair";-0,0180304092894539;"ca1_body_thre_0.5"
"125";1;"IP";"within_pair-across_pair";-0,0149360435448398;"ppa_avg_scene_top_300"
"126";1;"Pre";"within_pair-across_pair";-0,0113603603029512;"ppa_avg_scene_top_300"
"127";2;"IP";"within_pair-across_pair";0,0039773187453075;"ppa_avg_scene_top_300"
"128";2;"Pre";"within_pair-across_pair";-0,00380811194165031;"ppa_avg_scene_top_300"
"129";3;"IP";"within_pair-across_pair";0,0162200953390867;"ppa_avg_scene_top_300"
"130";3;"Pre";"within_pair-across_pair";0,00296397930164394;"ppa_avg_scene_top_300"
"131";4;"IP";"within_pair-across_pair";-0,00176410274100304;"ppa_avg_scene_top_300"
"132";4;"Pre";"within_pair-across_pair";-0,0215759950097614;"ppa_avg_scene_top_300"
"133";5;"IP";"within_pair-across_pair";-0,0226555172888101;"ppa_avg_scene_top_300"
"134";5;"Pre";"within_pair-across_pair";-0,00301986342153899;"ppa_avg_scene_top_300"
"135";6;"IP";"within_pair-across_pair";-0,000708510691845687;"ppa_avg_scene_top_300"
"136";6;"Pre";"within_pair-across_pair";-0,0076673685088996;"ppa_avg_scene_top_300"
"137";7;"IP";"within_pair-across_pair";0,0065161413289377;"ppa_avg_scene_top_300"
"138";7;"Pre";"within_pair-across_pair";0,00273702495086242;"ppa_avg_scene_top_300"
"139";9;"IP";"within_pair-across_pair";0,00117545460542513;"ppa_avg_scene_top_300"
"140";9;"Pre";"within_pair-across_pair";0,0247365818076534;"ppa_avg_scene_top_300"
"141";10;"IP";"within_pair-across_pair";-0,00939986663089989;"ppa_avg_scene_top_300"
"142";10;"Pre";"within_pair-across_pair";0,0224755678426408;"ppa_avg_scene_top_300"
"143";11;"IP";"within_pair-across_pair";-0,00186042888041503;"ppa_avg_scene_top_300"
"144";11;"Pre";"within_pair-across_pair";0,00875764563998436;"ppa_avg_scene_top_300"
"145";12;"IP";"within_pair-across_pair";-0,0168197693961532;"ppa_avg_scene_top_300"
"146";12;"Pre";"within_pair-across_pair";0,0203516231964368;"ppa_avg_scene_top_300"
"147";13;"IP";"within_pair-across_pair";-0,00944169921848712;"ppa_avg_scene_top_300"
"148";13;"Pre";"within_pair-across_pair";0,00439279439192337;"ppa_avg_scene_top_300"
"149";14;"IP";"within_pair-across_pair";0,00496406886007493;"ppa_avg_scene_top_300"
"150";14;"Pre";"within_pair-across_pair";-0,0164663941553612;"ppa_avg_scene_top_300"
"151";17;"IP";"within_pair-across_pair";-0,00138068276635179;"ppa_avg_scene_top_300"
"152";17;"Pre";"within_pair-across_pair";-0,00171440540062641;"ppa_avg_scene_top_300"
"153";18;"IP";"within_pair-across_pair";-0,00367140026446601;"ppa_avg_scene_top_300"
"154";18;"Pre";"within_pair-across_pair";0,0214005712541982;"ppa_avg_scene_top_300"
"155";19;"IP";"within_pair-across_pair";0,00610437482756596;"ppa_avg_scene_top_300"
"156";19;"Pre";"within_pair-across_pair";0,00296801797037753;"ppa_avg_scene_top_300"
