sub,scene_id,roi,1,2,3,4,5,run
1,0,ca23dg_body_thre_0.5,0.006230813109076198,-0.028450791091596657,-0.25332222833066953,-0.03308695290239611,-0.06286151036706271,2
1,1,ca23dg_body_thre_0.5,0.02603952649386469,0.053114148164184895,0.03741320454242661,0.09735252941869693,-0.0012938879577828813,2
1,2,ca23dg_body_thre_0.5,-0.1186751265332411,0.011134639732988548,0.025580252076034066,-0.03433521537515319,-0.10727380939445622,3
1,3,ca23dg_body_thre_0.5,0.039004235846380804,0.002405051194356379,0.0237689351345075,0.05739769759735599,0.04668885151099236,3
1,4,ca23dg_body_thre_0.5,0.08440508079845946,-0.07093700972860414,-0.0767297203077867,0.044313391423732945,0.10071996180111703,4
1,5,ca23dg_body_thre_0.5,-0.2058175937747718,0.13665291313582634,-4.814376393729586e-5,0.06513569657898928,-0.08390466381770162,2
1,6,ca23dg_body_thre_0.5,0.045415926022554454,0.08204273383846121,0.0010423535778830706,-0.005729549389935713,-0.008625349209832224,1
1,7,ca23dg_body_thre_0.5,0.014649859268672665,0.06785048002408024,0.016764779514830457,0.07286358686901648,-0.1441448791563275,2
1,8,ca23dg_body_thre_0.5,0.09804153808661573,-0.03434338486589783,0.0869340087737771,0.03237038426268256,-0.003404917606864545,3
1,9,ca23dg_body_thre_0.5,-0.014780726277899428,-0.06709387450852988,-0.12110840951542029,0.011200270123179056,-0.06728147418694377,4
1,10,ca23dg_body_thre_0.5,-0.12284518510434396,-0.048227328553462394,0.03928307187259288,-0.06706754013156396,-0.0989057070208564,4
1,11,ca23dg_body_thre_0.5,-0.02657018756293686,-0.050145802936122544,0.10951424146890953,0.045481614375297075,-0.07029980252724999,3
1,12,ca23dg_body_thre_0.5,0.04375399903346262,-0.025186524200685154,0.018093661260340448,-0.10315582525086682,-0.04294205162543224,3
1,13,ca23dg_body_thre_0.5,0.07222821349378818,0.015499333774000569,-0.033044367280563,-0.009788378841155639,0.08180207585733834,2
