scene_id;rt;accuracy;confResp;subnum;run;scene_num;high.conf.correct
A15;3.45689267176203;1;0;25;1;15;0
B8;3.0726519349264;1;0;25;1;8;0
B2;1.51990608801134;0;0;25;1;2;0
B3;2.05418669735081;1;0;25;1;3;0
B6;3.13942832686007;1;0;25;1;6;0
A11;2.70554697187617;1;0;25;1;11;0
B12;1.65307185077108;0;0;25;1;12;0
B1;1.55255969939753;1;0;25;1;1;0
A10;1.23593622806948;1;1;25;1;10;1
A14;1.48637082416099;1;0;25;1;14;0
A9;0.969680218724534;1;1;25;1;9;1
B5;1.58736703475006;0;0;25;1;5;0
A2;1.77012395241763;1;0;25;1;2;0
A16;2.17114100547042;1;0;25;1;16;0
B7;3.20626815222204;1;0;25;1;7;0
A6;1.46963490906637;1;0;25;1;6;0
A17;2.22111049690284;1;0;25;1;17;0
A5;1.11876707617193;0;0;25;1;5;0
A8;3.07247182866558;1;0;25;1;8;0
B13;2.68869627208915;0;0;25;1;13;0
B10;3.23975735122804;0;0;25;1;10;0
A12;2.45576106058434;0;0;25;1;12;0
B17;2.8391424221918;1;0;25;1;17;0
B11;1.30278209480457;1;1;25;1;11;1
B14;1.7032656254014;1;0;25;1;14;0
A7;1.35258582804818;1;1;25;1;7;1
B16;2.05419915763196;1;0;25;1;16;0
B9;1.18588027043734;1;1;25;1;9;1
B0;1.45306852797512;0;0;25;1;0;0
A11;1.56997828150634;1;1;25;2;11;1
A1;2.1375445734011;1;0;25;2;1;0
A12;2.02052343345713;0;0;25;2;12;0
B3;1.46959752845578;1;1;25;2;3;1
B6;3.17300021601841;1;0;25;2;6;0
B13;2.77229919843376;1;1;25;2;13;1
B4;3.72408432746306;1;0;25;2;4;0
B2;2.00411488139071;1;1;25;2;2;1
A3;0.735156522598118;1;1;25;2;3;1
A16;2.83930780272931;1;1;25;2;16;1
B5;1.82046196318697;0;0;25;2;5;0
B16;1.5867111759726;1;1;25;2;16;1
A8;2.22123623150401;0;0;25;2;8;0
B0;2.57202590513043;0;0;25;2;0;0
A17;2.72222964791581;1;1;25;2;17;1
A14;2.6555080054095;0;0;25;2;14;0
B8;1.2189941535471;0;0;25;2;8;0
A15;2.78882895421702;1;0;25;2;15;0
B9;2.4213381028967;1;1;25;2;9;1
A4;2.42176892317366;1;0;25;2;4;0
A7;1.87045373197179;0;0;25;2;7;0
B7;0.985469537437893;0;0;25;2;7;0
A5;1.88717643171549;1;1;25;2;5;1
A2;0.98550729569979;1;1;25;2;2;1
A0;2.23789625265636;0;0;25;2;0;0
A6;1.43627182231285;1;1;25;2;6;1
A13;2.13708354672417;1;1;25;2;13;1
B11;1.83706157142296;1;1;25;2;11;1
B17;1.48652752034832;1;1;25;2;17;1
B10;1.92066449776758;1;0;25;2;10;0
A9;1.00226850865874;1;1;25;2;9;1
B1;1.70319539529737;0;0;25;2;1;0
B15;2.25467898789793;1;0;25;2;15;0
B14;1.33715860976372;1;1;25;2;14;1
B12;2.20446482382249;0;0;25;2;12;0
A10;1.77026781090535;1;0;25;2;10;0
B11;1.06903621612582;1;1;25;3;11;1
A9;2.43801851361059;1;1;25;3;9;1
A0;2.23777391633485;1;1;25;3;0;1
A17;1.35227621125523;1;1;25;3;17;1
A11;0.96961640752852;1;1;25;3;11;1
B1;1.73685450584162;1;1;25;3;1;1
B2;3.45666234719101;1;0;25;3;2;0
B4;3.0061477792915;1;0;25;3;4;0
B15;1.5868486155523;1;1;25;3;15;1
B17;1.01886622898746;1;1;25;3;17;1
B10;2.87241375667509;0;0;25;3;10;0
A7;2.90618878463283;1;0;25;3;7;0
B14;1.26924645341933;1;0;25;3;14;0
B8;1.35284069541376;1;0;25;3;8;0
A15;1.50321963604074;1;1;25;3;15;1
A12;1.82024674175773;1;1;25;3;12;1
B16;2.45593739091419;1;1;25;3;16;1
B12;2.25468540680595;1;1;25;3;12;1
A10;2.48815678386018;1;1;25;3;10;1
B6;1.98726493667345;1;1;25;3;6;1
B5;1.16908280958887;1;1;25;3;5;1
A4;1.43624388135504;1;1;25;3;4;1
B9;1.61995759012643;1;1;25;3;9;1
A14;1.23621110722888;1;1;25;3;14;1
B3;1.06837431597523;1;1;25;3;3;1
A1;1.41954383638222;1;1;25;3;1;1
A3;1.13572085555643;1;1;25;3;3;1
A2;1.26933858322445;1;1;25;3;2;1
A16;1.85388697334565;1;1;25;3;16;1
B0;1.45327166677453;1;1;25;3;0;1
A8;1.13584847818129;1;0;25;3;8;0
A6;1.4530186871998;1;0;25;3;6;0
A5;1.30366827815305;1;1;25;3;5;1
B7;2.80650240369141;1;0;25;3;7;0
B13;3.29018220561557;1;1;25;3;13;1
A13;3.02254877984524;1;1;25;3;13;1
A0;3.02267904533073;1;1;25;4;0;1
A7;2.17063202580903;1;1;25;4;7;1
B6;2.93916862632614;1;0;25;4;6;0
A1;0.751687033451162;1;1;25;4;1;1
A2;0.718160076416098;1;1;25;4;2;1
B10;2.18784595886245;1;1;25;4;10;1
B2;0.66740370541811;1;1;25;4;2;1
B8;2.45500061172061;1;0;25;4;8;0
A10;1.10223316703923;1;1;25;4;10;1
B0;1.0190667246934;1;1;25;4;0;1
A3;0.93536260642577;1;1;25;4;3;1
A6;1.73693568573799;1;1;25;4;6;1
A8;1.58648575982079;1;0;25;4;8;0
B13;2.55504871555604;1;1;25;4;13;1
B5;1.21920522151049;1;1;25;4;5;1
B11;2.02047963405494;1;1;25;4;11;1
A16;1.23596907767933;1;1;25;4;16;1
B3;1.43611135019455;1;1;25;4;3;1
A13;1.08559051458724;1;1;25;4;13;1
B1;1.30257027165499;1;1;25;4;1;1
A4;1.9873272376135;0;0;25;4;4;0
A12;1.45303114736453;1;1;25;4;12;1
A5;1.11897399078589;1;1;25;4;5;1
A14;1.78679454594385;1;0;25;4;14;0
B15;1.23586259956937;1;1;25;4;15;1
B14;2.05427580652758;0;1;25;4;14;0
B9;1.11898456292693;1;1;25;4;9;1
A11;0.601273355307057;1;1;25;4;11;1
B17;2.75668054656126;1;1;25;4;17;1
B12;0.985345313325524;0;0;25;4;12;0
A17;1.63676562323235;1;1;25;4;17;1
B7;1.35268815257587;1;1;25;4;7;1
B16;1.60330361011438;1;1;25;4;16;1
A15;1.50330534693785;1;1;25;4;15;1
B4;0.935342217097059;1;1;25;4;4;1
A9;0.718333763768896;1;1;25;4;9;1
A7;2.08757357171271;1;0;25;5;7;0
B13;1.05223611218389;1;1;25;5;13;1
A16;2.63888649747241;0;0;25;5;16;0
A13;1.45266602630727;1;1;25;5;13;1
B9;1.20263959560543;1;1;25;5;9;1
B8;1.65305297169834;1;1;25;5;8;1
A8;1.00213295698632;1;1;25;5;8;1
B11;0.668301971396431;1;1;25;5;11;1
A5;1.06858274096157;1;1;25;5;5;1
A15;1.35271647118498;1;1;25;5;15;1
B4;0.684861933579668;1;1;25;5;4;1
A4;1.48606120748445;1;1;25;5;4;1
B1;0.868565070093609;1;1;25;5;1;1
A2;0.601596187334508;1;1;25;5;2;1
A9;0.802081303787418;1;1;25;5;9;1
A1;0.784713317640126;1;1;25;5;1;1
B5;1.80354329873808;1;1;25;5;5;1
B6;0.835307328496128;1;1;25;5;6;1
A10;1.46966020693071;1;1;25;5;10;1
B7;2.99015267880168;1;0;25;5;7;0
B12;1.87060174380895;1;1;25;5;12;1
A0;2.42150839208625;1;1;25;5;0;1
B14;1.70405099459458;0;1;25;5;14;0
B16;1.5699661988765;1;1;25;5;16;1
A14;1.58666360075586;0;1;25;5;14;0
B17;1.38625664357096;1;1;25;5;17;1
B3;1.13562343968078;1;1;25;5;3;1
B2;0.985188617021777;1;1;25;5;2;1
A12;1.31972567969933;1;1;25;5;12;1
B10;1.23558507743292;1;1;25;5;10;1
A3;1.72008007753175;1;1;25;5;3;1
A17;3.10628310451284;1;1;25;5;17;1
B0;1.13575106207281;1;1;25;5;0;1
A6;2.20530607493129;1;1;25;5;6;1
A11;0.801750164944679;1;1;25;5;11;1
B15;0.918675021850504;1;1;25;5;15;1
A3;1.5697736324509606;1;1;25;6;3;1
A0;1.786866663955152;1;1;25;6;0;1
A7;na;0;0;25;6;7;0
B15;0.5186158925062045;1;1;25;6;15;1
B11;0.8183939502341673;1;1;25;6;11;1
B8;1.67009359493386;1;1;25;6;8;1
B4;1.7704724599607289;1;1;25;6;4;1
A8;1.0855301015544683;1;1;25;6;8;1
B16;1.0189326832769439;1;1;25;6;16;1
B3;1.436164211598225;1;1;25;6;3;1
A15;1.5699748832266778;1;1;25;6;15;1
A2;0.6347508492181078;1;1;25;6;2;1
A9;1.035656138206832;1;1;25;6;9;1
A1;0.5848236468154937;1;1;25;6;1;1
A5;1.4358406245009974;1;1;25;6;5;1
B13;2.1877881889231503;1;1;25;6;13;1
B2;0.484543330501765;1;1;25;6;2;1
B0;0.584665440255776;1;1;25;6;0;1
B1;0.8349448504159227;1;1;25;6;1;1
