"";"sub";"run";"obj";"type";"z";"roi"
"55";17;"pre-learned";"first";"within_pair-across_pair";0,0114459949805615;"ca23dg_body_thre_0.5"
"56";17;"pre-learned";"last";"within_pair-across_pair";0,019094293712588;"ca23dg_body_thre_0.5"
"57";18;"learned";"first";"within_pair-across_pair";0,0175627327731527;"ca23dg_body_thre_0.5"
"58";18;"learned";"last";"within_pair-across_pair";0,0230359335155955;"ca23dg_body_thre_0.5"
"59";18;"pre-learned";"first";"within_pair-across_pair";0,0139487429759176;"ca23dg_body_thre_0.5"
"60";18;"pre-learned";"last";"within_pair-across_pair";0,00991374009500277;"ca23dg_body_thre_0.5"
"61";19;"learned";"first";"within_pair-across_pair";-0,0256146602894074;"ca23dg_body_thre_0.5"
"62";19;"learned";"last";"within_pair-across_pair";-0,0205999865527234;"ca23dg_body_thre_0.5"
"63";19;"pre-learned";"first";"within_pair-across_pair";-0,0163321085187439;"ca23dg_body_thre_0.5"
"64";19;"pre-learned";"last";"within_pair-across_pair";0,000545512717982415;"ca23dg_body_thre_0.5"
"65";20;"learned";"first";"within_pair-across_pair";0,00395272963891074;"ca23dg_body_thre_0.5"
"66";20;"learned";"last";"within_pair-across_pair";0,0217469924166928;"ca23dg_body_thre_0.5"
"67";20;"pre-learned";"first";"within_pair-across_pair";-0,0336137216697431;"ca23dg_body_thre_0.5"
"68";20;"pre-learned";"last";"within_pair-across_pair";-0,024864281870523;"ca23dg_body_thre_0.5"
"69";21;"learned";"first";"within_pair-across_pair";-0,0208345728190388;"ca23dg_body_thre_0.5"
"70";21;"learned";"last";"within_pair-across_pair";0,0234407883956558;"ca23dg_body_thre_0.5"
"71";21;"pre-learned";"first";"within_pair-across_pair";-0,0387862403532072;"ca23dg_body_thre_0.5"
"72";21;"pre-learned";"last";"within_pair-across_pair";0,0258823733811041;"ca23dg_body_thre_0.5"
"73";22;"learned";"first";"within_pair-across_pair";0,00399986653742726;"ca23dg_body_thre_0.5"
"74";22;"learned";"last";"within_pair-across_pair";-0,0222516810135032;"ca23dg_body_thre_0.5"
"75";22;"pre-learned";"first";"within_pair-across_pair";0,00421932288838992;"ca23dg_body_thre_0.5"
"76";22;"pre-learned";"last";"within_pair-across_pair";0,00784708863482727;"ca23dg_body_thre_0.5"
"77";23;"learned";"first";"within_pair-across_pair";-0,0148328409187205;"ca23dg_body_thre_0.5"
"78";23;"learned";"last";"within_pair-across_pair";-0,0109043639048579;"ca23dg_body_thre_0.5"
"79";23;"pre-learned";"first";"within_pair-across_pair";-0,0212503320528992;"ca23dg_body_thre_0.5"
"80";23;"pre-learned";"last";"within_pair-across_pair";0,00144541442835236;"ca23dg_body_thre_0.5"
"81";24;"learned";"first";"within_pair-across_pair";-0,0208964105503148;"ca23dg_body_thre_0.5"
"82";24;"learned";"last";"within_pair-across_pair";0,00997336586160993;"ca23dg_body_thre_0.5"
"83";24;"pre-learned";"first";"within_pair-across_pair";0,0163429183605358;"ca23dg_body_thre_0.5"
"84";24;"pre-learned";"last";"within_pair-across_pair";-0,0014294627892212;"ca23dg_body_thre_0.5"
"85";25;"learned";"first";"within_pair-across_pair";-0,00772660874304251;"ca23dg_body_thre_0.5"
"86";25;"learned";"last";"within_pair-across_pair";-0,00352831742538165;"ca23dg_body_thre_0.5"
"87";25;"pre-learned";"first";"within_pair-across_pair";0,0235839456177398;"ca23dg_body_thre_0.5"
"88";25;"pre-learned";"last";"within_pair-across_pair";0,0161991255543762;"ca23dg_body_thre_0.5"
"89";26;"learned";"first";"within_pair-across_pair";-0,00358576239154599;"ca23dg_body_thre_0.5"
